name,SoundD,Soundex,Metaphone
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET RASI . ,1645,P645,PRLMLTRS
PEARL MILLET TATA  . ,1645,P645,PRLMLTT
PEARL MILLET TATA  . ,1645,P645,PRLMLTT
PEARL MILLET TATA  . ,1645,P645,PRLMLTT
PEARL MILLET US  . ,1645,P645,PRLMLTS
PEARL MILLET US AGRISEEDS  . ,1645,P645,PRLMLTSKRSTS
PEARL MILLET US AGRISEEDS ANAND . ,1645,P645,PRLMLTSKRSTSNNT
PEARL MILLET PIONEER M . ,1645,P645,PRLMLTPNRM
PEARL MILLET DHANYA  . ,1645,P645,PRLMLTTHNY
YODHA BAJRA SHAKTI VARDHAK . ,3126,Y312,YTHBJRXKTFRTHK
HYBRID BAJRA GANGA KAVERI KAKOSA ,1631,H163,HBRTBJRKNKKFRKKS
BAJRA NATH SEEDS SUPER  . ,1265,B265,BJRN0STSPR
PEARLS MILLET  HY.NO   ,1642,P642,PRLSML0N
CRYSTAL BAJRA   ,2623,C623,KRSTLBJR
PIGEON PEA ANKUR CHARU  ,1251,P251,PJNPNKRXR
PIGEON PEA PLANT AGRO ARHAR BAHAR  ,1251,P251,PJNPPLNTKRRHRBHR
PIGEON PEA SONALIKA ARHAR BAHAR  ,1251,P251,PJNPSNLKRHRBHR
POTATO TECHNICO K.CHIP  ,1333,P333,PTTTXNKKXP
POTATO TECHNICO PUKHRAJ  ,1333,P333,PTTTXNKPKHRJ
POTATO TECHNICO PUKHRAJ  ,1333,P333,PTTTXNKPKHRJ
POTATO TUBER  ,1333,P333,PTTTBR
L R POTATO  ,4613,L613,LRPTT
CHIP  POTATO  ,2133,C133,XPTT
KHYATI POTATO  ,2313,K313,KHYTPTT
JOYTHI POTATO  ,2313,J313,J0PTT
POTATO SEEDS SURYA  ,1332,P332,PTTSTSRY
POTATO SEEDS K. BAHAR  ,1332,P332,PTTSTSKBHR
POTATO SEEDS K. MOHAN  ,1332,P332,PTTSTSKMHN
POTATO SEEDS BAHAR   ,1332,P332,PTTSTSBHR
POTATO SEEDS   ,1332,P332,PTTSTS
POTATO SEEDS SUPER SIX  ,1332,P332,PTTSTSPRSKS
POTATO SEEDS   ,1332,P332,PTTSTS
POTATO SEEDS PUKHRAJ MM   ,1332,P332,PTTSTSPKHRJM
POTATO SEEDS K.BAHAR MM  ,1332,P332,PTTSTSKBHRM
POTATO KUFRI CHIPSONA CHIP  ,1332,P332,PTTKFRXPSNXP
PUMPKIN GUAMAL  F  ,1512,P512,PMPKNKMLF
PUMPKIN GUAMAL  F  ,1512,P512,PMPKNKMLF
PUMPKIN H M CLAUSE   ,1512,P512,PMPKNHMKLS
PUMPKIN H M CLAUSE   ,1512,P512,PMPKNHMKLS
PUMPKIN HYVEG GOLDEN BABY  ,1512,P512,PMPKNHFKLTNBB
PUMPKIN KALASH BSS  INDRAJEET  ,1512,P512,PMPKNKLXBSNTRJT
PUMPKIN KALASH BSS  INDRAJEET  ,1512,P512,PMPKNKLXBSNTRJT
PUMPKIN MAHYCO KOHRA  ,1512,P512,PMPKNMKKR
PUMPKIN MAHYCO MPH   ,1512,P512,PMPKNMKMF
PUMPKIN PAHUJA DON  ,1512,P512,PMPKNPHJTN
PUMPKIN SAKATA BHIMA  ,1512,P512,PMPKNSKTBHM
PUMPKIN SAKATA BHIMA  ,1512,P512,PMPKNSKTBHM
PUMPKIN SUNGRO CHAKOR  ,1512,P512,PMPKNSNKRXKR
PUMPKIN US AGRISEEDS SW  ,1512,P512,PMPKNSKRSTS
PUMPKIN US AGRISEEDS SW  ,1512,P512,PMPKNSKRSTS
PUMPKIN VNR   ,1512,P512,PMPKNFNR
PUMPKIN VNR P  ,1512,P512,PMPKNFNRP
PUMPKIN VNR P  ,1512,P512,PMPKNFNRP
PUMPKIN INDO SEM LUSIA PU  ,1512,P512,PMPKNNTSMLXP
PUMPKIN ARJUN  ,1512,P512,PMPKNRJN
PUMPKIN ARJUN  ,1512,P512,PMPKNRJN
PUMPKIN KASHI   ,1512,P512,PMPKNKX
PUMPKIN PARADISE  ,1512,P512,PMPKNPRTS
PUMPKIN PARADISE  ,1512,P512,PMPKNPRTS
PUMPKIN VNR    EA,1512,P512,PMPKNFNR
PUMPKIN P,1512,P512,PMPKNP
ANKUR HYBIRD PUMPKIN YOGESH  ,5261,A526,ANKRHBRTPMPKNYJX
ANKUR HYBIRD PUMPKIN YOGESH  ,5261,A526,ANKRHBRTPMPKNYJX
HYBRID RADISH INDAM SWETHA  ,1636,H163,HBRTRTXNTMSW0
HYBRID RADISH INDAM SWETHA  ,1636,H163,HBRTRTXNTMSW0
RADISH AGRO SHUBRA   ,6322,R322,RTXKRXBR
RADISH ANKUR CHETKI  ,6325,R325,RTXNKRXTK
RADISH BENGAL PINK  ,6321,R321,RTXBNKLPNK
RADISH ENTORNO GREEN P P,6325,R325,RTXNTRNKRNP
RADISH EVERGREEN PALAK PATTA  ,6321,R321,RTXFRKRNPLKPT
RADISH HANS F HYBRID  ,6325,R325,RTXNSFHBRT
RADISH HINDUSTAN CHETKI  ,6325,R325,RTXNTSTNXTK
RADISH HM CLAUSE C F  ,6325,R325,RTXMKLSKF
RADISH ISP ISP  ,6322,R322,RTXSPSP
RADISH MAHYCO HILLQUEEN  ,6325,R325,RTXMKHLKN
RADISH MAHYCO HILLQUEEN  ,6325,R325,RTXMKHLKN
RADISH MAHYCO MAHY   ,6325,R325,RTXMKM
RADISH MAHYCO NO   ,6325,R325,RTXMKN
RADISH NOBLE  ,6325,R325,RTXNBL
RADISH NOBLE NBH MASTER  ,6325,R325,RTXNBLNBHMSTR
RADISH NOBLE NHB MASTER  ,6325,R325,RTXNBLNHBMSTR
RADISH NONGWOO KTX   ,6325,R325,RTXNNKWKTKS
RADISH PAHUJA  ,6321,R321,RTXPHJ
SOYBEAN ANKUR PRABHAKAR  ,2155,S155,SBNNKRPRBHKR
RADISH PAHUJA CHETKI  ,6321,R321,RTXPHJXTK
RADISH PAHUJA ROSHANI  ,6321,R321,RTXPHJRXN
RADISH PAHUJA ROSHANI  ,6321,R321,RTXPHJRXN
RADISH PAHUJA ROSHANI  ,6321,R321,RTXPHJRXN
RADISH PI PUSHA CHETKI  ,6321,R321,RTXPPXXTK
RADISH SOMANI CROSS   ,6322,R325,RTXSMNKRS
RADISH SUNGRO HILL QUEEN  ,6322,R325,RTXSNKRHLKN
RADISH SUNGRO HILL QUEEN  ,6322,R325,RTXSNKRHLKN
RADISH SUNGRO HILL QUEEN  ,6322,R325,RTXSNKRHLKN
RADISH SUNGRO JAPANI WHITE  ,6322,R325,RTXSNKRJPNHT
RADISH SUNGRO MAHY   ,6322,R325,RTXSNKRM
RADISH SUNGRO PUSA CHETKI  ,6322,R325,RTXSNKRPSXTK
RADISH SUNGRO PUSA CHETKI  ,6322,R325,RTXSNKRPSXTK
RADISH SUNGRO PUSA CHETKI  ,6322,R325,RTXSNKRPSXTK
RADISH SUNGRO R BONUS  ,6322,R325,RTXSNKRRBNS
RADISH SUNGRO R BONUS  ,6322,R325,RTXSNKRRBNS
RADISH SWETA  ,6322,R323,RTXSWT
RADISH SWETA  ,6322,R323,RTXSWT
RADISH SYNGENTA IVORY WHITE  ,6322,R325,RTXSNJNTFRHT
RADISH SYNGENTA IVORY WHITE  ,6322,R325,RTXSNJNTFRHT
RADISH SYNGENTA IVORY WHITE  ,6322,R325,RTXSNJNTFRHT
RADISH TOKITA CHETKI LONG  ,6323,R323,RTXTKTXTKLNK
RADISH TOKITA CHETKI LONG  ,6323,R323,RTXTKTXTKLNK
RADISH TOKITA CHETKI LONG  ,6323,R323,RTXTKTXTKLNK
RADISH TOKITA HIKARI  ,6323,R323,RTXTKTHKR
RADISH TOKITA LUXARF  ,6323,R323,RTXTKTLKSRF
RADISH UJJAWAL  ,6322,R322,RTXJWL
RADISH VACHAN CCP  ,6321,R321,RTXFXNKP
RADISH VNR WHITE LONG  ,6321,R321,RTXFNRHTLNK
RADISH ISHVED WHITE  ,6322,R322,RTXXFTHT
RADISH F SW   ,6321,R321,RTXFS
RIDEGEGOURD RAINBOW JHIGNI  SPL  ,6322,R322,RTJKRTRNBJHKNSPL
RIDGEGOURD DHANYA  ,6226,R322,RJKRTHNY
RIDGEGOURD EAST MALLIKA  ,6226,R322,RJKRTSTMLK
RIDGEGOURD EAST NAGA  ,6226,R322,RJKRTSTNK
RIDGEGOURD EAST NAGA  ,6226,R322,RJKRTSTNK
RIDGEGOURD EAST WEST RAMA  ,6226,R322,RJKRTSTWSTRM
RIDGEGOURD EAST WEST RAMA  ,6226,R322,RJKRTSTWSTRM
RIDGEGOURD GLOBAL   ,6226,R322,RJKRTKLBL
RIDGEGOURD H M CLAUSE C  ,6226,R322,RJKRTHMKLSK
RIDGEGOURD H M CLAUSE VINAYAK  ,6226,R322,RJKRTHMKLSFNYK
RIDGEGOURD KALASH   ,6226,R322,RJKRTKLX
RIDGE GOURD MALA F  ,6226,R322,RJKRTMLF
RIDGEGOURD NUNHEMS   ,6226,R322,RJKRTNNHMS
RIDGEGOURD SAKATA SS  ,6226,R322,RJKRTSKTS
RIDGEGOURD SUFALAM  ,6226,R322,RJKRTSFLM
RIDGEGOURD SUFALAM  ,6226,R322,RJKRTSFLM
RIDGEGOURD SUNGRO GAURAV  ,6226,R322,RJKRTSNKRKRF
RIDGEGOURD SUNGRO PALLAVI  ,6226,R322,RJKRTSNKRPLF
RIDGEGOURD VIJETA PANCHWATI  ,6226,R322,RJKRTFJTPNXWT
RIDGEGOURD VIJETA PANCHWATI  ,6226,R322,RJKRTFJTPNXWT
RIDGEGOURD VNR  ,6226,R322,RJKRTFNR
RIDGEGOURD VNR AARTI  ,6226,R322,RJKRTFNRRT
RIDGEGOURD VNR AARTI  ,6226,R322,RJKRTFNRRT
SATPUTIYA PRIYANKA  ,2313,S313,STPTYPRYNK
RIDGE GOURD NEW LU  F  ,6226,R322,RJKRTNLF
RIDGE GOURD   MONOCARTON OF ,6226,R322,RJKRTMNKRTNF
RIDGE GOURD   MONOCARTON OF ,6226,R322,RJKRTMNKRTNF
RIDGE GOURD PRIYANKA  ,6226,R322,RJKRTPRYNK
RIDGE GOURD NUNHEMS   SEEDS,6226,R322,RJKRTNNHMSTS
RIDGE GOURD P,6226,R322,RJKRTP
ANKUR HYBIRD RIDGE GOURD SANIKA  ,5261,A526,ANKRHBRTRJKRTSNK
ANKUR HYBIRD RIDGE GOURD SANIKA  ,5261,A526,ANKRHBRTRJKRTSNK
HYBRID NAVIN RIDGE GOURD   ,1635,H163,HBRTNFNRJKRT
RIDGE GOURD  ,6226,R322,RJKRT
RIDGE GOURD  ,6226,R322,RJKRT
SAGAR BIOTECH RIDGEGOURD VAISHALI  ,2261,S261,SKRBTXRJKRTFXL
NAMDHARI ANNUAL RYEGRASS NS   ,5536,N536,NMTHRNLRYKRSNS
SESAME AWASTHI N  ,2252,S252,SSMWS0N
SESAME KANCHAN GORI  ,2252,S252,SSMKNXNKR
SESAME KANCHAN SAFED MOTI  ,2252,S252,SSMKNXNSFTMT
ADVANTA BMR ROCKET  ,3153,A315,ATFNTBMRKT
MIRACLE . ,5624,M624,MRKL
SORGHAM OMKAR DOODH BAHAR   ,2655,S625,SRMMKRTTHBHR
SORGHUM ADVANTA SUGARGRAZE  ,2653,S625,SRMTFNTSKRKRS
SORGHUM BHARAT  ,2651,S625,SRMBHRT
SORGHUM JK   ,2652,S625,SRMJK
SORGHUM MAHYCO RASILA JOWAR  ,2652,S625,SRMKRSLJWR
SORGHUM NUZIVEEDU HARITHA  ,2652,S625,SRMNSFTHR0
SORGHUM NUZIVEEDU SONA  ,2652,S625,SRMNSFTSN
SORGHUM VARDAN RUBY  ,2651,S625,SRMFRTNRB
SWEET SORGHUM GOODWILL LX WHITE  ,2326,S326,SWTSRMKTWLKSHT
HEERA SORGHUM GRASS  ,6265,H626,HRSRMKRS
HEERA SORGHUM GRASS  ,6265,H626,HRSRMKRS
HEERA SORGHUM GRASS  ,6265,H626,HRSRMKRS
FORAGEN INFINITY SORGHUM  ,1625,F625,FRJNNFNTSRM
FORAGEN INFINITY SORGHUM  ,1625,F625,FRJNNFNTSRM
FORAGEN SORGHUM AFRICAN GIANT  ,1625,F625,FRJNSRMFRKNJNT
FORAGEN SORGHUM BOLT WHITE  ,1625,F625,FRJNSRMBLTHT
FORAGEN SORGHUM ZOOMER  ,1625,F625,FRJNSRMSMR
DOLLAR SOYABEAN   ,3462,D462,TLRSYBN
SOYABEAN DOLLAR JS   ,2153,S153,SYBNTLRJS
SOYABEAN VARSHA JS    ,2151,S151,SYBNFRXJS
SOYBEAN AGRAWAL   ,2152,S152,SBNKRWL
SOYBEAN AGRAWAL JS   ,2152,S152,SBNKRWLJS
SOYBEAN AGRAWAL JS   ,2152,S152,SBNKRWLJS
SOYBEAN AGRIUS GLOBOSE   ,2152,S152,SBNKRSKLBS
SOYBEAN AGRIUS GLOBOSE JS  ,2152,S152,SBNKRSKLBSJS
SOYBEAN ANKUR  ,2155,S155,SBNNKR
SOYBEAN ANKUR   ,2155,S155,SBNNKR
SOYBEAN ANKUR   ,2155,S155,SBNNKR
SOYBEAN ANKUR JS   ,2155,S155,SBNNKRJS
SOYBEAN ANKUR JSANKUR  ,2155,S155,SBNNKRJSNKR
SOYBEAN EAGAL  MAH  ,2152,S152,SBNKLM
SOYBEAN EAGAL   ,2152,S152,SBNKL
SOYBEAN INDUS ANAMIKA  ,2155,S155,SBNNTSNMK
SOYBEAN JSINDUS  ,2152,S152,SBNJSNTS
SOYBEAN JS  KUBER  ,2152,S152,SBNJSKBR
SOYBEAN JS  SUNDARAM  ,2152,S152,SBNJSNTRM
SOYBEAN KRISHIDHAN  KSL  ,2152,S152,SBNKRXTHNKSL
SOYBEAN KRISHIDHAN JS  KSL  ,2152,S152,SBNKRXTHNJSKSL
SOYBEAN KDS  PHULE SANGAM  ,2152,S152,SBNKTSFLSNKM
SOYBEAN MAMTA  ,2155,S155,SBNMMT
SOYBEAN MANIKYA ANMOL  ,2155,S155,SBNMNKYNML
SOYBEAN MANIKYA JS  ,2155,S155,SBNMNKYJS
SOYBEAN SEED MAMTA KOHINOOR  ,2152,S152,SBNSTMMTKHNR
SOYBEAN AGARWAL   ,2152,S152,SBNKRWL
SOYBEAN EAGAL   ,2152,S152,SBNKL
SOYBEAN JS  TL,2152,S152,SBNJSTL
SOYABEAN KDS  PHULE KIMIYA  TL,2152,S152,SYBNKTSFLKMYTL
SOYBEAN KDS   TL,2152,S152,SBNKTSTL
SOYBEAN JS   C/F,2152,S152,SBNJSKF
ANKUR SOYABEAN KDS  C/F ,5262,A526,ANKRSYBNKTSKF
RUCHI SOYBEAN SEEDS MDS  ,6221,R221,RXSBNSTSMTS
RUCHI SOYBEAN SEEDS MDS  ,6221,R221,RXSBNSTSMTS
SOYBEAN EAGLE X LENT  ,2152,S152,SBNKLKSLNT
SOYBEAN EAGLE JS  C/F  ,2152,S152,SBNKLJSKF
SOYBEAN GOLD  ,2152,S152,SBNKLT
ANKUR SOYBEAN KDS  T/L  ,5262,A526,ANKRSBNKTSTL
SUNDARAM SEEDS JS  ,2536,S536,SNTRMSTSJS
SOYBEAN KRUSHNA JS  T/L ,2152,S152,SBNKRXNJSTL
SOYBEAN KRUSHNA JS  T/L ,2152,S152,SBNKRXNJSTL
SOYBEAN KRUSHNA JS  C/F  ,2152,S152,SBNKRXNJSKF
EXPERT KDS  PHULE KIMIYA TL ,2163,E216,EKSPRTKTSFLKMYTL
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
FAIRFIELD   ,1614,F614,FRFLT
FAIRFIELD   ,1614,F614,FRFLT
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
HARDIK TS   ,6323,H632,HRTKTS
HARDIK PS   ,6321,H632,HRTKPS
HARDIK SOYBEAN   ,6321,H632,HRTKSBN
HARDIK SOYBEAN BLACK GOLD  ,6321,H632,HRTKSBNBLKKLT
SOYBEAN AGRIUS GLOBOSE   ,2152,S152,SBNKRSKLBS
SOYBEAN AGRIUS    ,2152,S152,SBNKRS
SOYBEAN AMBROCIA RVSM  TL  ,2155,S155,SBNMBRXRFSMTL
SOYBEAN AGRAWAL   ,2152,S152,SBNKRWL
ARIHANT SOYABEAN BLACK BOLD  ,6532,A653,ARHNTSYBNBLKBLT
ARIHANT SOYABEAN   ,6532,A653,ARHNTSYBN
ARIHANT SOYABEAN BLACK BOLD TL  ,6532,A653,ARHNTSYBNBLKBLTTL
SOYBEAN AGRIUS GLOBOSE  TL  ,2152,S152,SBNKRSKLBSTL
ARIHANT SOYABEAN JS   ,6532,A653,ARHNTSYBNJS
SOYBEAN EAGLE   ,2152,S152,SBNKL
SOYBEAN EAGALE JS   ,2152,S152,SBNKLJS
ARIHANT SOYBEAN   ,6532,A653,ARHNTSBN
ARIHANT SOYBEAN   ,6532,A653,ARHNTSBN
PALAK AMBIKA  ,1425,P425,PLKMBK
PALAK AMERICAN SUPER AMERICA  ,1425,P425,PLKMRKNSPRMRK
PALAK ANVAY  ,1425,P425,PLKNF
PALAK DCM GREEN KATELI  ,1423,P423,PLKTKMKRNKTL
PALAK EAST WEST  ,1422,P422,PLKSTWST
PALAK EAST WEST GREEN FLAVOUR  ,1422,P422,PLKSTWSTKRNFLFR
PALAK GOLDEN SEED PALAK GOLDEN  ,1424,P424,PLKKLTNSTPLKKLTN
PALAK GOLDEN SEED PALAK GOLDEN  ,1424,P424,PLKKLTNSTPLKKLTN
PALAK HINDUSTAN  ,1425,P425,PLKHNTSTN
PALAK KAVERI  ,1421,P421,PLKFR
PALAK LAKSHYA  ,1424,P424,PLKLKXY
PALAK PAHUJA DELHI GREEN  ,1421,P421,PLKPHJTLHKRN
PALAK PATTA UJJWAL  ,1421,P421,PLKPTJWL
PALAK RAJDHANI  ,1426,P426,PLKRJTHN
PALAK RAJDHANI ALL GREEN  ,1426,P426,PLKRJTHNLKRN
PALAK RAJDHANI ALL GREEN  ,1426,P426,PLKRJTHNLKRN
PALAK RK F TRENDY  ,1426,P426,PLKRKFTRNT
PALAK ROHIT  ,1426,P426,PLKRHT
PALAK SHREE CHAKRA  ,1426,P426,PLKXRXKR
PALAK SRIRAM GREEN WONDER  ,1426,P426,PLKSRRMKRNWNTR
PALAK SRIRAM GREEN WONDER  ,1426,P426,PLKSRRMKRNWNTR
PALAK SURENDRA ALL GREEN  ,1426,P426,PLKSRNTRLKRN
PALAK TOKITA GIANT  ,1423,P423,PLKTKTJNT
PALAK VDL ALL GREEN  ,1421,P421,PLKFTLLKRN
SPINACH ENTORNO GREEN P P,2152,S152,SPNXNTRNKRNP
SPINACH RK GREEN GOLD IMPROVED  ,2152,S152,SPNXRKKRNKLTMPRFT
SPINACH PAHUJA KANTEDAR  ,2152,S152,SPNXPHJKNTTR
PALAK KANTEDAR RP  ,1425,P425,PLKNTTRP
PALAK KANTEDAR AWASTHI KB   ,1425,P425,PLKNTTRWS0KB
PALAK ALL GREEN AWASTHI SEEDS  ,1424,P424,PLKLKRNWS0STS
SPINACH ISHVED HY   ,2152,S152,SPNXXFTH
SPONGEGOURD H M CLAUSE  ,2152,S152,SPNJKRTHMKLS
SPONGEGOURD H M CLAUSE  ,2152,S152,SPNJKRTHMKLS
SPONGEGOURD BIOMAYA  ,2152,S152,SPNJKRTBMY
SPONGEGOURD DHANYA SINDHU  ,2152,S152,SPNJKRTHNYSNTH
SPONGEGOURD EAST ANUSHKA   ,2152,S152,SPNJKRTSTNXK
SPONGEGOURD ENZA EG   ,2152,S152,SPNJKRTNSK
SPONGEGOURD GREEN LEAF GLOBAL  ,2152,S152,SPNJKRTKRNLFKLBL
SPONGEGOURD H M CLAUSE UTSAV  ,2152,S152,SPNJKRTHMKLSTSF
SPONGEGOURD H M CLAUSE WHITE  ,2152,S152,SPNJKRTHMKLSHT
SPONGEGOURD H M CLAUSE WHITE  ,2152,S152,SPNJKRTHMKLSHT
SPONGEGOURD KALASH BSS  ,2152,S152,SPNJKRTKLXBS
SPONGEGOURD MAHYCO   ,2152,S152,SPNJKRTMK
SPONGEGOURD NIRMAL NSG  ,2152,S152,SPNJKRTNRMLNSK
SPONGEGOURD SATYA  ,2152,S152,SPNJKRTSTY
SPONGEGOURD SATYA  ,2152,S152,SPNJKRTSTY
SPONGEGOURD SHATABDI WHITE S  ,2152,S152,SPNJKRTXTBTHTS
SPONGEGOURD SHATABDI WHITE S  ,2152,S152,SPNJKRTXTBTHTS
SPONGEGOURD SHRIRAM MAYA  ,2152,S152,SPNJKRTXRRMY
SPONGEGOURD SHRIRAM MAYA  ,2152,S152,SPNJKRTXRRMY
SPONGEGOURD SHRIRAM MAYA  ,2152,S152,SPNJKRTXRRMY
SPONGEGOURD SWETA  ,2152,S152,SPNJKRTSWT
SPONGEGOURD US SW  ,2152,S152,SPNJKRTS
SPONGEGOURD US SW  ,2152,S152,SPNJKRTS
SPONGEGOURD VIJETA  ,2152,S152,SPNJKRTFJT
SPONGEGOURD VIJETA  ,2152,S152,SPNJKRTFJT
SPONGEGOURD VNR  ,2152,S152,SPNJKRTFNR
SPONGEGOURD VNR ALOK  ,2152,S152,SPNJKRTFNRLK
SPONGEGOURD VNR ALOK  ,2152,S152,SPNJKRTFNRLK
SPONGEGOURD VNR NAVI  ,2152,S152,SPNJKRTFNRNF
SPONGEGOURD SHATABDI WHITE S  ,2152,S152,SPNJKRTXTBTHTS
SPONGE GOURD INDOSEM LOHIT  ,2152,S152,SPNJKRTNTSMLHT
SPONGE GOURD INDOSEM LOHIT  ,2152,S152,SPNJKRTNTSMLHT
SPONGEGOURD INDOSEM PARIKSHIT  ,2152,S152,SPNJKRTNTSMPRKXT
SPONGE GOURD NONGWOO HINA  ,2152,S152,SPNJKRTNNKWHN
SPONGE GOURD  ,2152,S152,SPNJKRT
SPONGE GOURD  ,2152,S152,SPNJKRT
SAGARBIOTECH SPONGEGOURD JANKI DG ,2261,S261,SKRBTXSPNJKRTJNKTK
SQUASH CORA F  SEED,2226,S261,SKXKRFST
SQUASH ORELIA F  SEED,2264,S264,SKXRLFST
SUDAN ADVANTA JUMBO GOLD  ,2353,S353,STNTFNTJMBKLT
SUDAN ADVANTA JUMBO GOLD  ,2353,S353,STNTFNTJMBKLT
SUDAN ADVANTA JUMBO GOLD  ,2353,S353,STNTFNTJMBKLT
SUDAN ADVANTA JUMBO GOLD  ,2353,S353,STNTFNTJMBKLT
SUDAN ADVANTA JUMBO WHITE  ,2353,S353,STNTFNTJMBHT
SUDAN ADVANTA JUMBO WHITE  ,2353,S353,STNTFNTJMBHT
SUDAN AWASTHI HARA MOTI  ,2352,S352,STNWS0HRMT
SUDAN CRYSTAL STAR  ,2352,S352,STNKRSTLSTR
SUDAN CRYSTAL SX  ,2352,S352,STNKRSTLSKS
SUDAN DCM GORI  ,2353,S353,STNTKMKR
SUDAN DCM LAALI  ,2353,S353,STNTKMLL
SUDAN GANGA SORGHUM WHITE  ,2352,S352,STNKNKSRMHT
SUDAN GOODWILL JET MULTICIT  ,2352,S352,STNKTWLJTMLTST
SUDAN JAMIDARA POONAM  ,2352,S352,STNJMTRPNM
SUDAN JAMIDARA PUJA  ,2352,S352,STNJMTRPJ
SUDAN JK   ,2352,S352,STNJK
SUDAN JK JKSSG   ,2352,S352,STNJKJKSK
SUDAN KOHINOOR SSG   ,2352,S352,STNKHNRSK
SUDAN MAHYCO  ,2352,S352,STNMK
SUDAN MAHYCO RASILA  ,2352,S352,STNMKRSL
SUDAN MAHYCO RASILA  ,2352,S352,STNMKRSL
SUDAN MAHYCO RED  ,2352,S352,STNMKRT
SUDAN MAHYCO WHITE  ,2352,S352,STNMKHT
SUDAN NAVBHARAT SSG   ,2351,S351,STNFBHRTSK
SUDAN PREMIER PSC   ,2351,S351,STNPRMRPSK
SUDAN PREMIER SAFED SONA  ,2351,S351,STNPRMRSFTSN
SUDAN PRIYA  ,2351,S351,STNPRY
SUDAN RASI SSH   ,2356,S356,STNRSS
SUDAN RASI SSH   ,2356,S356,STNRSS
SUDAN SWETA  ,2352,S352,STNSWT
LAL GHODA SSG GAYATRI  ,4432,L423,LLTSKYTR
SORGHUM SUDAN GRASS SSG SX  ,2652,S625,SRMSTNKRSKSKS
SUN FLOWER SURVARNA F  ,2514,S514,SNFLWRSRFRNF
SUN FLOWER SURVARNA F  ,2514,S514,SNFLWRSRFRNF
SUNFLOWER GANGA KAVERI   ,2514,S514,SNFLWRKNKKFR
SWEET CORN GOLDEN HIBRIX  ,2326,S326,SWTKRNKLTNHBRKS
SWEET CORN NONGWOO  ,2326,S326,SWTKRNNKW
SWEET CORN PAN SEED   ,2326,S326,SWTKRNPNST
SWEET CORN SYNGENTA SUGAR  ,2326,S326,SWTKRNSNJNTSKR
SWEET  SWEET CORN  K G,2323,S323,SWTSWTKRNKK
EAST WEST GOLDEN COB F SWEET CORN ,2323,E232,ESTWSTKLTNKBFSWTKRN
TIL MARUTI MT  ,3456,T456,TLMRTMT
TIL MARUTI MT  ,3456,T456,TLMRTMT
TIL KANCHAN JYOTI SAFED MOTI  ,3425,T425,TLKNXNJYTSFTMT
MAHYCO MAHY TINDA  ,5253,M253,MKMTNT
HM CLAUSE TINDA ORBIT  ,5242,H524,HMKLSTNTRBT
MAHYCO MAHY TINDA  ,5253,M253,MKMTNT
TOMATO   ,3530,T530,TMT
TOMATO DARSH F HMC  ,3533,T533,TMTTRXFHMK
TOMATO H M CLAUSE RISHIKA  ,3535,T535,TMTMKLSRXK
TOMATO HYVEG RYNA  ,3531,T531,TMTFKRN
TOMATO HYVEG SHIVAM  ,3531,T531,TMTFKXFM
TOMATO I SW  ,3532,T532,TMTS
TOMATO JK DESI  ,3532,T532,TMTJKTS
TOMATO JK NANDANI  ,3532,T532,TMTJKNNTN
TOMATO LAXMI  ,3534,T534,TMTLKSM
TOMATO LAXMI  ,3534,T534,TMTLKSM
TOMATO MAHY  AMLAN HYBRID  ,3535,T535,TMTMYMLNHBRT
TOMATO MAHY  AMLAN HYBRID  ,3535,T535,TMTMYMLNHBRT
TOMATO NAMDHARI NS   ,3535,T535,TMTNMTHRNS
TOMATO NAMDHARI NS  SEED,3535,T535,TMTNMTHRNST
TOMATO NAMDHARI NS   ,3535,T535,TMTNMTHRNS
TOMATO NAMDHARI NS  ,3535,T535,TMTNMTHRNS
TOMATO NAMDHARI NS   ,3535,T535,TMTNMTHRNS
TOMATO NAMDHARI NS   ,3535,T535,TMTNMTHRNS
TOMATO NAMDHARI NS   ,3535,T535,TMTNMTHRNS
TOMATO NONGWOO PRABHAV   ,3535,T535,TMTNNKWPRBHF
TOMATO NS   SEED,3535,T535,TMTNST
TOMATO NUNHEMS AAAHAN  SEED,3535,T535,TMTNNHMSHNST
TOMATO NUNHEMS LAKSHMI  SEED,3535,T535,TMTNNHMSLKXMST
TOMATO NUNHEMS SAMPURNA  SEED,3535,T535,TMTNNHMSMPRNST
TOMATO NUNHEMS SAMPURNA  SEED,3535,T535,TMTNNHMSMPRNST
TOMATO NUNHEMS SAMPURNA  SEED,3535,T535,TMTNNHMSMPRNST
TOMATO NUNHEMS SAMPURNA  ,3535,T535,TMTNNHMSMPRN
